Fuente;Módulo documento;Regla ID;Regla;Condición documento;Severidad documento;Severidad original;Impacto;Acción sugerida documento;Automatizable;Prioridad;¿Está considerado en MVP?;Módulo actual / recomendado;Observación de cobertura;Cómo mostrar en front;
Investigación Cynthia;Tecnico;TECH_014;RangeError;Cuando se detecta RangeError en consola o auditoría automática;Alta;Alta;UX ;Corregir valor fuera del rango permitido y validar en QA técnico;Sí;Alta;Considerado;M2 Técnico;Cubierto parcialmente por validaciones del módulo M2 Técnico;Toast + badge en dashboard técnico;
Investigación Cynthia;Tecnico;TECH_015;URIError;Cuando se detecta URIError en consola o auditoría automática;Media;Media;UX ;Corregir error en encode/decode uri y validar en QA técnico;Sí;Media;Considerado;M2 Técnico;Cubierto parcialmente por validaciones del módulo M2 Técnico;Toast + badge en dashboard técnico;
Investigación Cynthia;Tecnico;TECH_016;Unhandled Promise Rejection;Cuando se detecta Unhandled Promise Rejection en consola o auditoría automática;Alta;Alta;UX ;Corregir promesa rechazada sin catch y validar en QA técnico;Sí;Alta;Considerado;M2 Técnico;Cubierto parcialmente por validaciones del módulo M2 Técnico;Toast + badge en dashboard técnico;
Investigación Cynthia;Tecnico;TECH_017;Deprecated API;Cuando se detecta Deprecated API en consola o auditoría automática;Media;Media;Compatibilidad;Corregir uso de apis obsoletas y validar en QA técnico;Sí;Media;Considerado;M2 Técnico;Cubierto parcialmente por validaciones del módulo M2 Técnico;Toast + badge en dashboard técnico;
Investigación Cynthia;Tecnico;TECH_018;Conflicto de versiones JS;Cuando se detectan conflictos, errores o warnings en ejecución JavaScript;Media;Media;UX ;Revisar dependencias, corregir conflictos y validar compatibilidad;Sí;Media;No considerado;M2 Técnico;Cobertura parcial con validaciones;Listado priorizado en consola QA;
Investigación Cynthia;Tecnico;TECH_019;Namespace Collision JS;Cuando se detectan conflictos, errores o warnings en ejecución JavaScript;Media;Media;UX ;Revisar dependencias, corregir conflictos y validar compatibilidad;Sí;Media;No considerado;M2 Técnico;Cobertura parcial con validaciones;Listado priorizado en consola QA;
Investigación Cynthia;Tecnico;TECH_020;Dependency Conflict JS;Cuando se detectan conflictos, errores o warnings en ejecución JavaScript;Media;Media;UX ;Revisar dependencias, corregir conflictos y validar compatibilidad;Sí;Media;No considerado;M2 Técnico;Cobertura parcial con validaciones;Listado priorizado en consola QA;
Investigación Cynthia;Tecnico;TECH_021;JQuery undefined;jquery_loaded = TRUE;Alta;Crítica;UX / Frontend;Validar carga de jQuery;Sí;Alta;Considerado;M2 Técnico;Detectable por consola;Badge crítico;
Investigación Cynthia;Performance;PERF_028;Fuente externa caída;font_errors = 0;Media;Media;UX;Corregir fuente o fallback;Sí;Media;Considerado;M6 Performance;Requiere validación fonts;Tabla fuentes;
Investigación Cynthia;Tagging;TAG_009;Facebook Pixel roto;fb_pixel_loaded = TRUE;Media;Media;Medicion;Restaurar Pixel Meta;Sí;Media;Parcial;M4 Tagging;Se valida pixel;Tabla píxeles;
Investigación Cynthia;Tagging;TAG_010;TikTok Pixel roto;tiktok_pixel_loaded = TRUE;Media;Media;Medicion;Restaurar Pixel TikTok;Sí;Media;No considerado;M4 Tagging;Cobertura parcial social tracking;Tabla píxeles;
Investigación Cynthia;Tecnico;TECH_022;Google Maps API error;maps_api_valid = TRUE;Alta;Alta;UX;Validar API Key/cuota;Sí;Alta;No considerado;M2 Técnico;Dependencia externa Google;Error geolocalización;
Investigación Cynthia;Performance;PERF_029;YouTube embed roto;youtube_player_ok = TRUE;Media;Media;UX;Corregir embed/video;Sí;Media;No considerado;M6 Performance;Multimedia dependency;Tabla multimedia;
Investigación Cynthia;Tagging;TAG_011;Facebook Pixel ausente;facebook_pixel_present = TRUE;Alta;Alta;Analytics;Implementar Meta Pixel;Sí;Alta;Considerado;M4 Tagging;Tracking de conversiones incompleto;Badge rojo + tabla;
Investigación Cynthia;Tagging;TAG_012;Facebook Pixel duplicado;facebook_pixel_duplicates = 0;Media;Media;Analytics;Eliminar duplicados;Sí;Media;Parcial;M4 Tagging;Puede duplicar eventos;Tabla eventos;
Investigación Cynthia;Tagging;TAG_013;Facebook Pixel mal configurado;facebook_pixel_valid = TRUE;Alta;Alta;Medicion;Corregir configuración Pixel;Sí;Alta;Considerado;M4 Tagging;Eventos inválidos;Badge crítico;
Investigación Cynthia;Performance;PERF_030;"Fuente ""Roboto""";font_family IN ('Roboto');Alta;Alta;Branding / UX;Reemplazar fuente no autorizada;Sí;Alta;Considerado;M6 Performance;Fuente oficial corporativa;Tabla fuentes;
Investigación Cynthia;Performance;PERF_031;"Fuente ""AMX""";font_family IN ('AMX');Alta;Alta;Branding / UX;Reemplazar fuente no autorizada;Sí;Alta;Considerado;M6 Performance;Fuente oficial corporativa;Tabla fuentes;
Investigación Cynthia;Performance;PERF_032;Carga lenta de fuentes;font_load_time < umbral;Media;Media;Performance;Optimizar carga fonts;Sí;Media;Parcial;M6 Performance;Impacta render inicial;Gráfico carga;
Investigación Cynthia;Performance;PERF_033;Fonts sin preload;fonts_preloaded = TRUE;Media;Media;Performance;Agregar preload;Sí;Media;No considerado;M6 Performance;Optimización avanzada;Badge performance;
;;;;;;;;;;;;;;;
